trigger_name;schedule_name;cron;job_name;estado;nota;actualizado
sdlf-bigdata-sp-clts-matriz-rentabilidad-retail-muijeres-c1c2c3-glue-trigger;sdlf-bigdata-sp-clts-matriz-rentabilidad-retail-muijeres-c1c2c3-glue-schedule;cron(00 4 5 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-movimientos-wallet-glue-trigger;sdlf-bigdata-sp-clts-movimientos-wallet-glue-schedule;cron(00 10,22 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 12:33:45
sdlf-bigdata-sp-clts-onboarding-12m-glue-trigger;sdlf-bigdata-sp-clts-onboarding-12m-glue-schedule;cron(25 07 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-onboarding-new-12m-unicos-glue-trigger;sdlf-bigdata-sp-clts-onboarding-new-12m-unicos-glue-schedule;cron(00 9 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-opex-canjesop-trigger;sdlf-bigdata-sp-clts-opex-canjesop-schedule;cron(15 15 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-panel-integraL-glue-trigger;sdlf-bigdata-sp-clts-panel-integraL-glue-schedule;cron(0 18 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-retira-plastico-tc-glue-trigger;sdlf-bigdata-sp-clts-retira-plastico-tc-glue-schedule;cron(00 7 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-retira-td-glue-trigger;sdlf-bigdata-sp-clts-retira-td-glue-schedule;cron(40 11 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-saldo-vencimiento-tg;sdlf-bigdata-sp-clts-saldo-vencimiento-tg-schedule;cron(00 16 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-segmento-gestion-diario-glue-trigger;sdlf-bigdata-sp-clts-segmento-gestion-diario-glue-schedule;cron(30 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-seguim-clientes-con-saldo-glue-trigger;sdlf-bigdata-sp-clts-seguim-clientes-con-saldo-glue-schedule;cron(00 19 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-seguimiento-cof-glue-trigger;sdlf-bigdata-sp-clts-seguimiento-cof-glue-schedule;cron(00 9 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-seguros-asociados-tarjetas-glue-trigger;sdlf-bigdata-sp-clts-seguros-asociados-tarjetas-glue-schedule;cron(0 9 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-tc-vigente-glue-trigger;sdlf-bigdata-sp-clts-tc-vigente-glue-schedule;cron(58 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-universo-panes-actual-glue-trigger;sdlf-bigdata-sp-clts-universo-panes-actual-glue-schedule;cron(30 10 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-unload-csv-acoustic-glue-trigger;sdlf-bigdata-sp-clts-unload-csv-acoustic-glue-schedule;cron(0 15 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-vinculacion-diaria-glue-trigger;sdlf-bigdata-sp-clts-vinculacion-diaria-glue-schedule;cron(00 23 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-clts-visitan-tienda-glue-trigger;sdlf-bigdata-sp-clts-visitan-tienda-glue-schedule;cron(00 11 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cmp-onb-alto-valor-glue-trigger;sdlf-bigdata-sp-cmp-onb-alto-valor-glue-schedule;cron(0 18 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
